"STATION","NAME","DATE","AWND","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WESD","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT21","WT22"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-01-01","8.72","0.00","0.0","0.0",,"60","38","  320","  310",,"21.9","29.1","    1",,,,,,,,,,,,"    1",,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-01-02","13.87","0.00","0.0","0.0",,"49","32","  320","  310",,"31.1","40.0",,,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-01-03","15.66","0.00","0.0","0.0",,"34","21","  340","  350",,"33.1","40.0",,,,,,,,,,,,,,,"    1",,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-01-04","7.61","0.00","0.0","0.0",,"35","17","  330","  330",,"21.0","25.1",,,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-01-05","4.92","0.00","0.0","0.0",,"50","30","  320","  320",,"19.9","23.9",,,,,,,"    1",,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-01-06","7.38","0.00","0.0","0.0",,"63","33","  210","  210",,"15.0","21.0",,,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-01-07","7.61","0.00","0.0","0.0",,"68","36","  250","  240",,"17.0","23.9",,,,,,,"    1",,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-01-08","8.05","0.00","0.0","0.0",,"52","37","  330","  330",,"15.0","21.0",,,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-01-09","3.80","0.16","0.6","0.0",,"40","33","   30","   20",,"10.1","14.1","    1",,,,,,,,,,"    1",,"    1",,"    1",,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-01-10","6.71","0.00","0.0","0.0",,"54","32","  270","  240",,"15.0","19.9","    1",,,,,,,,,"    1",,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-01-11","6.26","0.51","0.0","0.0",,"49","33","   80","   80",,"14.1","17.9",,,,,,,,,,"    1",,,"    1",,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-01-12","7.83","0.24","0.0","0.0",,"57","44","  190","  210",,"17.0","21.9","    1",,,,,,,,,"    1",,,"    1",,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-01-13","14.99","0.05","0.0","0.0",,"51","29","  250","  240",,"29.1","38.9",,,,,,,,,,,,,"    1",,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-01-14","8.72","0.00","0.0","0.0",,"39","27","  260","  260",,"17.9","23.0",,,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-01-15","9.62","0.00","0.0","0.0",,"36","27","  340","  300",,"21.9","28.0",,,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-01-16","10.51","0.03","0.0","0.0",,"42","25","  180","  190",,"21.0","25.9",,,,,,,,,,,,,"    1",,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-01-17","13.87","0.26","0.0","0.0",,"60","40","  210","  210",,"25.1","32.0","    1",,,,,,,,,"    1",,,"    1",,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-01-18","16.55","0.00","0.0","0.0",,"58","28","  320","  330",,"32.0","40.0",,,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-01-19","9.62","0.00","0.0","0.0",,"41","25","  200","  200",,"19.9","23.9",,,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-01-20","8.28","0.05","0.5","0.0",,"40","28","  360","  350",,"21.9","25.9","    1",,,,,,,,,,,,,,"    1",,"    1"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-01-21","9.40","0.23","0.6","1.0",,"34","28","  360","  360",,"21.0","23.0",,,,,,,,,,,"    1",,"    1","    1","    1",,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-01-22","7.83","0.00","0.0","0.0",,"32","30","   20","   10",,"15.0","17.9",,,,,,,,,,"    1","    1","    1",,,"    1",,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-01-23","4.70","0.03","0.0","0.0",,"44","32","  180","  190",,"16.1","21.9","    1",,,,,,,,,,"    1","    1","    1",,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-01-24","4.70","0.00","0.0","0.0",,"56","38","  210","  210",,"14.1","16.1","    1",,,,,,,,,"    1",,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-01-25","6.26","0.00","0.0","0.0",,"49","36","  360","   10",,"16.1","21.0",,,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-01-26","3.80","0.00","0.0","0.0",,"55","40","  190","  200",,"13.0","14.1",,,,,,,"    1",,,"    1",,,"    1",,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-01-27","13.65","0.63","0.0","0.0",,"62","41","  320","  320",,"32.0","40.0",,,"    1",,,,,,,"    1",,,"    1",,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-01-28","8.28","0.00","0.0","0.0",,"55","33","  310","  300",,"25.1","34.9",,,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-01-29","10.51","0.00","0.0","0.0",,"49","32","  320","  320",,"28.0","38.9",,,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-01-30","8.95","0.00","0.0","0.0",,"48","34","  300","  280",,"21.9","31.1",,,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-01-31","11.18","0.00","0.0","0.0",,"66","39","  210","  210",,"21.0","25.1",,,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-02-01","7.38","0.02","0.0","0.0",,"72","48","  260","  270",,"17.0","21.9",,,,,,,"    1",,,,,,"    1",,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-02-02","8.95","0.09","0.0","0.0",,"58","42","  340","  310",,"25.1","33.1",,,,,,,"    1",,,,,,"    1",,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-02-03","6.93","0.00","0.0","0.0",,"52","37","  360","  340",,"12.1","14.1",,,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-02-04","5.14","0.08","0.0","0.0",,"46","35","   60",,,"11.0",,"    1",,,,,,,,,"    1","    1",,"    1",,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-02-05","7.38","0.00","0.0","0.0",,"45","35","  350","   10",,"15.0","19.9","    1",,,,,,,,,"    1",,,"    1",,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-02-06","5.59","0.00","0.0","0.0",,"53","29","  180","  200",,"14.1","17.0",,,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-02-07","6.71","0.00","0.0","0.0",,"56","40","  340","  350",,"19.9","25.1",,,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-02-08","5.82","0.11","0.0","0.0",,"43","37","   70","   60",,"12.1","14.1","    1",,,,,,,,,"    1","    1",,"    1",,"    1",,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2012-02-09","8.28","0.00","0.0","0.0",,"47","33","  320","  340",,"19.9","23.9",,,,,,,,,,,,,,,,,
